role,company,loc,dates,details
Research Assistant,"Institute of Psychology, Czech Academy of Sciences","Prague, Czech Republic",2017 - 2019,Developed a similarity measure for photographs using convolutional neural networks.|Implemented Python code for grid computing and conducted data analysis in R.|Created norms for a Czech lexical test through data cleaning and statistical analysis.
Research Assistant,"Faculty of Arts, Charles University","Prague, Czech Republic",2017 - 2020,"Cleaned, prepared, and analyzed data from the Vysočina Cohort study.|Conducted systematic reviews and meta-analyses.|Contributed to longitudinal research on developmental psychology."
Research Assistant,Prague Laboratory for Experimental Social Sciences,"Prague, Czech Republic",2017 - 2021,Created ShinyApp for data visualization and interactive analysis.|Analyzed data and collaborated on moral psychology research.|Contributed to experimental design and statistical analysis of behavioral studies.
Research Assistant,"Center for Educational Measurement and Psychometrics, Charles University","Prague, Czech Republic",2018 - 2022,Collaborated with the Institute of Computer Science on project 'Testing heterogeneity in inter-rater reliability'.|Developed Bayesian methodology for assessing heterogeneity in inter-rater reliability.
Research Assistant,JASP Development Team,"Amsterdam, Netherlands",2019 - 2021,R developer for JASP Development Team.|Implemented Learn Bayes and Mixed Effects modules.|Developed publication bias correction methods for the Meta-Analysis module.
PhD Fellow,"Institute of Computer Science, Czech Academy of Sciences","Prague, Czech Republic",2022 - Now,Collaborating on research focused on inter-rater reliability.|Developing statistical methods for assessing agreement and reliability in behavioral coding.|Contributing to methodological advances in psychometrics.
Research Scientist,"Faculty of Social Sciences, Charles University","Prague, Czech Republic",2024 - Now,Development of publication bias adjustment methodology for meta-analyses in economics.
Co-founder \& Chief Financial Officer,JASP Services,"Amsterdam, Netherlands",2025 - Now,Co-founded commercial entity to support JASP statistical software development and sustainability.|Managing financial operations and business strategy.
Postdoctoral Researcher,"Department of Psychological Methods, University of Amsterdam","Amsterdam, Netherlands",2026 - Now,Developing Bayesian methods for factorial designs
