journal
"Advances in Methods and Practices in Psychological Science"
"Atherosclerosis"
"Behavior Research Methods"
"BMC Medical Research Methodology"
"Collabra"
"Current Medical Research and Opinion"
"Energy Economics"
"Health Psychology"
"International Review of Sport and Exercise Psychology"
"Meta-Psychology"
"Nature Human Behaviour"
"Personality \& Social Psychology Bulletin"
"PloS One"
"Psychological Methods"
"Research Synthesis Methods"
"Statistics in Medicine"
